seq_beneficiario;dat_inicio_direito;des_categoria;desc_entidade;val_cargo;val_redutor_teto;nom_municipio;sgl_uf;dat_requerimento;dat_doc_completa;dat_deferimento;mes_deferimento;dias_uteis_concessao
189096;2023-04-13;COMPANHEIRO(A);SECRETARIA DA EDUCACAO;964,42;1518,0;CAMBUI;MG;2023-04-13;;2025-01-10;Janeiro/2025;457
189091;2022-03-19;CONJUGE;SECRETARIA DA EDUCACAO;960,47;1518,0;CARAI;MG;2022-03-31;2025-01-09;2025-01-10;Janeiro/2025;2
189094;2024-11-14;CONJUGE;SEC DE PLANEJAMENTO E GESTAO;3038,92;3038,92;CONTAGEM;MG;2025-01-06;2025-01-10;2025-01-10;Janeiro/2025;1
189080;2024-11-25;CONJUGE;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;32281,43;32573,49;MONTES CLAROS;MG;2024-12-23;2025-01-07;2025-01-10;Janeiro/2025;4
189089;2024-12-05;CONJUGE;SECRETARIA DA EDUCACAO;993,14;1518,0;VARGINHA;MG;2024-12-20;2025-01-06;2025-01-10;Janeiro/2025;5
189104;2023-08-18;COMPANHEIRO(A);SECRETARIA DA EDUCACAO;2579,78;2579,78;ARAGUARI;MG;2023-09-28;2025-01-08;2025-01-13;Janeiro/2025;4
189093;2024-12-26;CONJUGE;SECRETARIA DA EDUCACAO;2757,7;2757,7;LAGOA DA PRATA;MG;2025-01-07;2025-01-10;2025-01-13;Janeiro/2025;2
189097;2024-10-14;CONJUGE;SECRETARIA DE SAUDE;1159,03;1518,0;ARAPUTANGA;MT;2025-01-08;2025-01-10;2025-01-13;Janeiro/2025;2
189106;2024-12-09;COMPANHEIRO(A);SECRETARIA DA EDUCACAO;4395,52;4395,52;RIO CASCA;MG;2024-12-09;2025-01-10;2025-01-13;Janeiro/2025;2
189101;2024-11-26;CONJUGE;SECRETARIA DA EDUCACAO;1958,11;1958,11;SAO FRANCISCO DO GLORIA;MG;2024-12-20;2025-01-08;2025-01-13;Janeiro/2025;4
189105;2024-11-30;CONJUGE;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;31055,49;31055,49;UBA;MG;2025-01-09;2025-01-13;2025-01-14;Janeiro/2025;2
